A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	class
1	0	0	1	1	1	0	1	0	0	0	0	0
1	0	1	1	1	0	1	0	1	0	1	1	0
0	0	0	0	1	1	0	0	0	1	1	1	0
0	1	1	0	0	0	1	0	1	1	1	0	1
1	1	0	0	1	0	1	0	0	1	0	0	0
1	0	0	0	1	1	0	0	1	1	0	0	0
0	1	0	1	1	1	0	0	0	0	1	0	0
0	1	1	0	1	1	1	0	0	0	0	1	0
0	1	0	1	1	0	1	0	0	0	1	1	0
1	1	0	1	0	1	0	1	0	0	0	1	0
1	1	1	0	0	1	0	1	0	1	0	0	0
1	1	0	0	1	0	1	0	1	0	0	1	0
1	0	0	0	0	1	0	1	1	0	1	0	1
1	0	1	1	0	1	0	1	1	1	1	1	0
1	1	1	1	0	1	0	1	0	1	1	1	1
0	0	0	0	1	1	1	1	1	1	0	0	0
0	0	0	0	1	1	1	1	1	0	0	0	1
1	0	0	1	0	0	1	1	0	0	0	1	0
1	1	0	1	0	0	1	1	0	1	1	0	1
1	1	1	0	0	0	0	1	1	0	1	0	1
0	0	0	0	0	1	1	1	0	0	1	0	0
0	0	0	0	0	0	0	0	0	0	0	1	0
0	1	1	1	0	0	0	0	1	1	1	0	1
0	1	0	0	1	0	0	1	1	1	0	0	0
1	1	1	0	1	1	0	1	0	1	1	0	1
0	1	1	1	0	0	1	1	0	0	1	1	0
1	1	0	0	1	1	0	0	0	1	1	0	1
0	0	0	0	0	0	1	1	0	0	0	0	0
1	1	1	1	1	0	0	0	0	1	0	1	0
0	1	0	1	1	0	0	0	0	0	1	1	0
0	0	0	0	1	0	0	0	0	0	1	0	0
0	1	1	1	1	1	1	1	0	1	1	1	0
1	0	0	1	1	0	1	1	1	0	0	1	0
0	1	0	0	0	1	1	1	1	0	0	0	0
0	1	0	0	0	1	0	0	0	1	1	1	0
0	0	0	0	1	1	1	1	0	1	0	0	0
1	0	1	0	1	0	0	1	1	0	0	1	0
1	0	1	0	1	0	0	0	1	1	0	0	0
0	0	0	1	0	0	0	1	0	1	1	0	1
0	0	0	1	1	1	1	1	0	1	0	0	0
1	1	1	0	0	1	0	0	0	1	0	1	0
1	1	0	0	0	0	0	1	1	0	1	1	0
1	1	1	1	1	0	0	0	1	0	1	0	1
0	0	1	0	1	1	0	1	0	1	0	1	1
0	1	0	0	1	0	0	0	1	0	0	0	0
0	1	0	1	0	1	1	0	0	1	0	1	0
1	1	1	1	1	0	1	1	0	0	0	1	0
1	0	1	1	1	1	1	0	0	0	0	0	0
0	1	0	1	0	1	0	1	1	0	0	1	0
1	0	0	1	1	0	1	1	0	0	1	1	0
0	0	1	0	1	1	0	1	1	1	1	1	0
1	0	0	1	1	1	1	1	1	0	0	1	0
0	1	0	0	1	1	1	1	1	1	0	1	1
1	1	1	1	0	0	0	1	0	0	1	1	0
0	1	1	1	1	0	1	0	1	1	1	1	1
0	0	0	0	1	1	1	1	1	1	1	0	0
1	1	0	0	1	1	0	0	0	1	0	1	0
1	0	1	1	0	1	1	0	1	0	0	0	0
0	1	0	1	1	1	0	1	1	1	1	0	0
0	1	1	0	1	1	0	0	0	0	1	1	0
1	1	0	1	1	1	0	1	1	0	1	0	1
0	1	0	0	1	1	1	0	1	0	1	0	1
0	0	1	1	1	1	0	0	0	1	1	1	0
1	1	0	1	0	1	1	0	0	0	0	1	1
1	1	1	1	1	0	0	0	1	0	0	0	1
0	1	0	1	1	1	0	1	0	1	1	1	1
1	0	1	1	1	0	1	1	0	0	0	1	0
1	0	0	0	0	1	0	0	0	1	1	0	1
1	1	1	1	0	0	1	1	1	1	0	0	1
1	0	0	1	1	1	0	1	1	0	1	0	1
1	0	0	1	1	0	0	1	0	0	0	1	0
1	0	1	0	1	1	1	0	1	0	1	1	0
1	1	0	1	1	1	1	0	1	1	1	1	1
0	1	0	1	0	0	0	0	1	0	1	0	1
1	0	0	1	1	0	0	0	0	1	0	0	0
0	1	1	0	1	1	1	1	1	0	0	1	0
0	0	0	1	1	0	0	0	1	1	0	1	0
1	1	1	1	1	0	1	0	1	1	1	0	1
0	0	1	0	0	1	0	1	1	1	0	1	1
1	1	1	0	0	1	1	1	0	0	0	1	1
0	0	0	0	1	1	0	0	0	1	0	1	0
1	1	0	0	0	1	0	1	0	1	1	0	0
1	1	1	1	0	0	1	1	0	0	1	1	0
0	1	1	0	1	1	1	1	1	1	0	1	0
0	0	1	1	0	1	1	1	1	0	0	0	0
1	0	0	1	1	0	1	1	1	0	0	0	1
0	0	0	0	0	0	0	0	1	1	0	1	0
1	1	0	0	0	1	0	0	1	1	1	1	1
1	0	1	0	0	0	1	1	0	1	1	1	0
0	0	0	0	0	1	0	1	1	1	0	0	0
0	1	0	0	0	0	0	1	0	1	1	0	1
0	1	1	0	1	0	1	0	0	1	0	1	0
0	0	1	0	1	1	0	0	0	0	1	0	0
0	0	0	0	0	1	1	1	1	0	0	1	0
0	1	0	0	1	1	0	1	1	0	0	0	0
0	1	1	1	0	1	1	1	0	1	1	0	0
1	1	0	0	0	0	1	1	0	1	1	1	0
1	0	1	0	1	0	0	1	0	1	1	1	1
1	1	0	0	0	1	0	1	1	0	1	0	1
1	0	0	1	0	0	0	1	1	1	0	0	0
0	1	0	0	0	0	1	0	1	0	1	1	0
1	1	1	0	1	0	0	0	0	0	0	0	0
1	0	0	1	0	1	0	0	0	1	1	1	0
1	0	1	1	1	1	1	1	0	0	1	0	0
0	1	0	1	1	0	1	1	1	1	1	0	0
0	0	0	1	1	0	0	0	1	1	0	1	0
0	0	0	1	0	0	0	0	1	0	1	0	1
1	1	0	1	1	0	1	0	1	1	0	0	0
1	1	1	1	1	1	0	0	0	1	1	0	1
1	0	1	1	1	0	0	1	0	0	0	1	1
1	1	0	1	1	0	0	0	0	0	1	1	0
1	1	0	0	0	1	1	0	1	1	1	1	0
0	0	1	0	1	0	0	1	0	0	1	1	1
1	1	0	0	1	0	1	1	0	1	0	1	0
0	0	0	0	1	0	0	0	0	0	0	1	0
1	0	0	1	1	0	1	0	1	0	0	1	0
1	0	0	0	0	1	0	0	1	0	0	1	0
0	0	1	1	1	0	0	1	1	1	0	1	1
1	1	1	1	0	1	0	0	0	0	0	1	0
1	1	1	0	1	1	1	1	0	1	1	1	0
1	1	1	1	1	1	0	1	0	1	1	0	1
1	1	1	0	0	0	1	0	1	0	0	0	0
0	0	0	1	0	0	0	0	0	1	0	1	1
1	1	1	0	0	1	0	1	1	0	1	0	1
1	1	1	1	1	1	1	0	1	1	0	0	0
1	0	0	1	0	1	1	1	0	1	1	1	0
1	0	1	1	1	0	1	1	0	0	0	0	0
1	1	0	0	1	1	1	0	1	1	0	0	0
0	1	0	1	0	1	0	1	1	1	0	0	0
1	0	1	1	0	0	0	0	1	1	1	0	1
1	1	1	1	1	1	0	1	0	0	1	1	0
0	1	0	0	1	0	1	1	1	0	1	0	1
0	0	0	1	0	1	0	0	1	0	0	0	0
0	1	0	0	1	1	0	0	0	1	1	0	1
0	1	0	0	1	0	1	1	1	1	0	0	0
0	1	0	0	1	0	0	0	1	1	0	1	0
0	0	1	1	1	1	1	0	0	0	0	1	0
0	1	0	1	0	0	1	0	0	1	0	0	0
0	1	1	0	0	1	1	0	0	1	1	1	0
0	1	0	1	0	0	1	0	0	0	0	0	0
0	1	0	1	0	1	0	0	0	0	1	0	0
1	1	1	0	1	1	0	0	1	0	1	0	1
0	0	1	0	0	0	0	1	1	1	0	1	1
0	1	1	0	1	1	1	0	1	0	1	1	0
1	1	0	0	0	1	0	1	0	1	1	0	1
1	1	1	0	0	0	1	1	1	1	1	0	0
0	1	1	0	1	0	0	0	1	1	1	0	1
0	1	1	1	1	1	0	0	0	1	0	0	0
1	0	0	0	1	0	1	1	0	1	0	0	0
0	0	1	0	1	1	0	1	0	1	0	1	0
1	0	1	1	1	0	0	0	0	0	1	1	0
0	0	0	0	1	1	1	0	1	0	1	0	1
1	1	0	1	1	1	1	0	0	1	0	0	0
0	0	0	0	1	1	0	0	1	0	0	0	0
0	0	0	1	1	0	0	1	1	1	0	1	1
0	0	1	0	1	1	0	0	1	1	1	1	1
0	0	1	1	1	1	0	1	0	1	1	0	1
0	0	0	1	0	0	0	0	0	0	0	1	0
0	0	1	1	1	1	0	0	0	1	0	1	0
0	0	0	1	1	1	1	1	1	0	0	1	0
1	0	0	1	0	1	1	0	0	0	1	0	0
1	0	1	1	1	1	1	0	0	0	0	0	0
1	1	1	0	0	1	0	1	1	1	1	0	1
1	1	1	0	0	1	1	0	1	0	1	0	1
0	1	1	0	0	0	0	1	0	1	0	0	0
1	1	0	0	1	0	1	0	0	0	0	0	0
0	0	1	0	0	1	0	0	0	0	0	0	0
0	1	1	1	1	1	0	0	0	0	1	0	0
1	1	0	1	0	0	0	0	0	1	0	0	1
1	0	0	1	1	0	1	1	0	1	0	1	0
0	1	1	1	1	0	0	1	0	0	1	0	0
1	0	0	1	1	1	0	0	0	1	0	0	0
0	1	0	0	0	1	1	1	1	0	0	1	0
0	1	1	0	0	1	0	1	1	0	1	0	1
0	1	1	0	0	1	0	0	1	0	0	1	0
0	1	1	0	0	1	1	0	0	0	1	1	0
1	0	0	0	0	0	1	0	0	1	1	0	0
1	0	1	1	0	1	0	1	0	0	1	1	1
0	1	1	0	0	0	0	1	0	0	1	1	0
1	1	1	0	0	0	1	0	1	1	0	1	0
0	0	0	1	0	0	0	0	1	0	0	1	0
1	0	0	0	1	1	1	0	1	0	1	0	1
0	1	0	1	0	1	0	0	0	1	1	1	0
0	1	0	0	0	0	1	0	1	0	0	0	0
1	1	1	0	1	0	0	1	1	0	1	1	0
0	1	0	0	1	1	1	1	0	1	1	0	0
1	1	0	0	1	0	1	1	1	1	1	1	0
1	1	0	0	1	1	1	0	1	1	0	1	0
0	0	1	1	0	0	0	0	0	1	0	0	0
1	0	1	1	0	0	1	0	1	0	1	0	1
0	0	0	1	1	0	1	1	0	1	1	1	1
1	0	1	1	0	0	0	1	0	1	0	1	1
0	1	1	0	0	0	1	0	0	0	1	0	1
1	0	0	0	1	1	1	1	1	0	1	1	0
1	1	0	0	0	0	0	0	0	0	0	0	0
0	1	1	1	1	1	1	1	1	1	0	0	1
0	1	0	1	1	0	1	1	1	0	0	1	0
1	0	0	1	0	0	0	1	1	1	0	0	0
0	1	0	1	1	1	1	1	0	1	0	0	0
0	0	1	0	1	1	1	0	1	0	0	1	1
1	1	0	0	1	0	0	1	0	0	0	0	0
1	0	0	1	0	0	1	1	0	1	0	0	1
0	0	0	1	1	0	0	0	0	1	0	1	0
1	0	1	0	1	1	0	1	0	1	1	0	1
0	1	1	1	0	0	1	0	0	1	1	1	0
0	1	0	0	1	1	0	0	0	0	1	0	0
1	0	0	0	0	0	1	1	1	1	0	0	0
1	1	1	1	0	0	0	1	1	1	0	0	1
0	1	1	1	0	0	0	1	1	0	0	0	0
0	0	1	0	1	0	0	1	1	1	1	1	0
0	1	1	1	0	1	0	0	1	1	1	0	1
0	0	1	1	0	0	1	0	1	0	1	1	0
0	0	1	1	0	0	0	0	0	0	1	0	0
0	1	1	1	1	0	0	0	1	1	1	0	1
0	0	1	0	1	1	1	1	0	0	0	0	0
0	0	1	1	0	0	0	0	1	1	0	0	0
0	0	1	0	0	0	1	0	1	1	0	0	0
1	1	1	0	1	0	1	0	0	1	0	0	0
1	1	0	0	1	0	1	0	1	0	0	1	0
0	1	1	0	1	1	0	1	1	0	0	0	0
0	1	1	1	0	1	1	1	0	1	1	1	0
1	0	1	1	0	1	0	1	1	1	1	1	0
1	1	1	0	1	0	1	1	1	0	1	0	1
1	0	1	0	1	0	1	1	0	0	0	0	0
0	1	1	0	1	1	0	0	1	0	0	0	0
0	1	0	1	0	1	1	0	0	0	1	0	0
1	0	1	0	0	1	1	1	1	1	0	0	1
0	1	1	1	1	0	0	0	0	0	0	1	0
0	0	1	0	1	0	1	0	1	1	0	0	0
1	0	1	1	0	0	0	1	0	1	0	1	1
1	0	0	1	0	1	1	1	1	1	0	1	1
1	1	0	0	1	0	1	0	1	1	1	1	0
0	0	1	1	1	0	1	1	1	0	0	0	0
1	0	1	1	0	0	1	0	0	1	1	1	0
0	0	1	1	0	0	1	0	0	0	0	0	0
1	1	1	1	1	0	0	1	0	0	0	0	0
0	1	1	0	1	1	0	0	0	1	0	1	0
1	1	0	0	0	1	0	1	0	0	0	0	0
0	0	0	1	1	1	1	0	1	0	0	0	0
0	0	0	0	1	1	1	0	1	0	0	1	0
0	1	1	0	0	0	0	1	1	1	0	0	0
1	1	0	0	1	0	1	0	0	1	0	0	0
1	0	0	1	0	1	1	1	1	1	1	1	0
1	0	1	0	0	1	1	0	1	1	0	0	0
0	0	0	0	1	1	0	1	0	1	1	0	1
0	0	1	0	1	0	1	1	0	1	1	0	0
1	0	1	1	1	0	0	0	0	1	1	0	0
0	1	1	1	0	1	0	1	0	0	1	0	0
1	0	1	1	1	0	1	0	1	1	0	1	1
1	1	1	1	0	0	0	1	0	0	0	1	0
0	0	0	1	1	1	1	1	1	0	1	0	1
1	0	1	1	0	0	1	0	0	0	1	0	0
1	1	0	1	0	1	1	0	1	1	0	1	0
1	0	1	1	1	0	1	1	1	0	0	0	0
1	1	0	0	0	1	0	0	1	0	1	0	1
1	0	1	0	0	0	1	1	0	1	1	0	0
1	0	1	0	0	0	0	1	1	0	1	0	1
0	0	1	0	0	1	1	1	0	1	1	1	0
0	0	0	0	1	0	0	1	0	0	1	0	0
1	0	1	0	0	1	1	1	0	1	1	1	0
1	1	0	1	1	1	0	0	1	1	1	1	1
0	1	1	0	0	1	1	1	0	0	0	1	0
1	0	1	0	1	1	1	0	0	0	0	1	0
1	1	0	1	0	0	0	0	1	0	1	1	0
0	0	1	1	1	1	1	0	1	1	1	1	0
0	1	1	0	1	1	1	0	1	0	0	0	0
1	1	0	0	1	1	1	1	0	1	0	1	0
1	0	0	0	1	1	1	1	1	1	0	0	0
0	1	0	1	0	0	0	0	1	1	1	1	1
0	1	0	1	0	0	1	0	0	0	0	1	0
0	1	0	1	1	0	1	1	1	1	0	0	0
1	0	0	0	0	0	0	0	0	1	1	0	1
1	1	1	1	1	1	0	1	1	1	0	0	0
1	1	1	0	0	0	1	0	1	1	1	0	1
0	1	1	0	1	1	1	0	0	0	1	0	0
0	1	0	1	1	1	1	1	1	0	0	0	0
0	1	1	1	1	1	0	0	0	0	1	0	0
0	1	1	0	0	0	0	0	0	1	0	1	0
1	0	0	1	0	0	1	0	0	0	1	1	0
1	0	1	1	1	1	1	0	0	0	0	0	0
1	1	0	0	0	0	0	0	0	0	0	0	0
0	0	0	1	0	1	1	1	1	1	1	0	0
0	1	1	1	1	1	1	1	0	1	1	1	0
1	1	1	0	0	0	0	1	0	0	1	1	0
0	0	1	0	1	0	0	1	0	1	1	0	1
1	1	0	0	0	0	1	0	1	1	0	1	0
1	0	1	1	1	1	0	1	0	1	0	0	0
0	1	0	0	0	1	1	0	0	1	0	1	1
1	0	0	1	0	0	0	1	1	1	1	0	1
1	1	0	1	1	0	0	0	0	1	1	0	1
1	0	0	0	1	0	0	0	1	0	0	1	0
1	1	0	1	0	1	0	0	1	1	1	1	1
1	0	1	0	1	1	0	0	1	0	1	1	0
1	1	0	0	1	0	0	1	0	0	1	0	0
0	1	1	0	0	1	0	1	0	0	0	1	0
0	0	1	1	1	0	1	1	0	1	0	1	1
1	1	0	0	0	0	0	0	1	1	0	0	0
0	0	0	0	1	1	1	0	0	1	0	0	0
0	0	0	0	1	1	0	1	1	1	1	0	1
1	0	0	1	0	0	0	0	0	1	0	1	1
0	0	1	0	0	0	0	0	0	0	1	0	1
1	0	0	0	1	1	0	1	1	1	1	1	0
1	1	1	0	0	0	1	0	1	1	0	0	0
0	0	1	1	0	1	1	1	0	1	1	1	0
0	1	0	0	1	1	1	1	1	1	1	1	0
1	0	0	1	1	0	0	0	1	1	0	0	0
0	1	0	1	1	0	0	0	1	1	1	1	1
1	0	1	1	1	1	0	0	1	1	0	0	0
0	0	1	1	1	1	1	0	1	1	1	0	1
0	1	1	1	0	0	0	1	0	1	1	0	1
1	1	1	1	1	1	0	0	0	1	0	0	0
1	0	1	0	0	1	0	1	1	0	1	1	0
0	0	1	1	1	0	1	1	1	1	0	0	0
0	0	1	1	0	1	1	1	0	1	0	0	0
0	0	0	0	0	1	0	1	0	0	0	0	0
0	1	1	0	1	0	1	0	0	1	1	0	0
1	1	1	0	0	0	1	0	0	0	1	1	0
0	1	0	1	0	0	0	0	1	1	0	1	0
1	1	0	0	0	0	1	0	0	0	0	1	0
0	0	0	1	1	0	1	0	0	1	0	0	0
1	1	0	1	0	0	0	0	0	1	1	0	1
1	1	1	1	0	1	0	1	1	1	0	1	1
<<<<<<< HEAD
0	0	0	1	0	1	1	1	0	0	1	0	0
=======
0	0	0	1	0	1	1	1	0	0	1	0	0
>>>>>>> 88f1fb09d148581c94c80fd513c834e78b0f8a6b
